Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":32860,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s82-attribution-01","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"e010180a1bf85b7f565e9aa39734f8551caf170a85b36c50598be556b723ce7f"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":5750040,"phase":"INITIALIZE","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6250774,"phase":"INITIALIZE","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6754415,"phase":"INITIALIZE","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6986922,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_READY {"deadline_mono_us":606978941,"index":0,"pid":32860,"run_id":"gt06-s82-attribution-01","sha256":"553ffa604d95d1ce2e42ab2b70ae52da92c239d8e19d83052005526cec7d2417","size_bytes":653}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7490949,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7995158,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8498386,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9001777,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9506723,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10009050,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10513325,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11017011,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11520226,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12023768,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12528066,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13031376,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13535892,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14039221,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14543439,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15046035,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15551051,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16054093,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16557866,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17061382,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17564841,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18069561,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18573446,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19076096,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19580039,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20083837,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20587684,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21090976,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21594550,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22098036,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22601953,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23105750,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23609725,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24112622,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24617635,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25121157,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25624922,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26128956,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26632398,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27135743,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27639577,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
