Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":7348,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":5081269,"phase":"INITIALIZE","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":5581457,"phase":"INITIALIZE","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6085712,"phase":"INITIALIZE","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6300008,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_READY {"deadline_mono_us":606291622,"index":0,"pid":7348,"run_id":"gt06-s103-prefix-01","sha256":"50d6d89c38159147a961f927c003c4e19cb8da3fc098f427fcb3b301c50adbb4","size_bytes":648}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6804137,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7308423,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7811498,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8315388,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8818963,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9322784,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9826465,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10330425,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10833791,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11338180,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11841155,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12345282,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12848492,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13352613,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13855537,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14359411,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14863065,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15367223,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15871049,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16374801,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16878275,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17381564,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17886008,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18389500,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18892660,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
