Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":11352,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":5724048,"phase":"INITIALIZE","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6224621,"phase":"INITIALIZE","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6729036,"phase":"INITIALIZE","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7001497,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_READY {"deadline_mono_us":606993316,"index":0,"pid":11352,"run_id":"gt06-s105-handles-01","sha256":"264df2e041b6aa2885462b0ed33d2eabaea909ba2fa20a576e01de8c1c45923d","size_bytes":650}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7505941,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8009147,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8513443,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9017272,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9521440,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10023978,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10527853,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11030994,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11535046,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12039452,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12543420,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13046662,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13550266,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14053732,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
