Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":23356,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s106-handles-prefix-01","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6055063,"phase":"INITIALIZE","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6561058,"phase":"INITIALIZE","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7065226,"phase":"INITIALIZE","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7300349,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_READY {"deadline_mono_us":607294178,"index":0,"pid":23356,"run_id":"gt06-s106-handles-prefix-01","sha256":"25d3cfeadfd248f90e3b6885d22eb988f3507784afdf20ee4fdef6174202f9bd","size_bytes":657}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7804327,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8307965,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8811512,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9316029,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9818906,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10322997,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10826408,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11329988,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11834975,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12338632,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12841666,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13344497,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13849028,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14351945,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14855785,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15360401,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15863703,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16367746,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16870977,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17374598,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17878327,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18381953,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18885706,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19389686,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19893471,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20396804,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20900430,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21404083,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21907674,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22411488,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22915958,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
